,Unnamed: 0,name,num_vertices,time_0.1,size_max_clique_0.1,time_1.0,size_max_clique_1.0,num_edges,sum_vertices_edges
42,42,johnson8-2-4,28,0.0,4,0.0,4.0,210,238
37,37,hamming6-4,64,0.0,4,0.0,4.0,704,768
9,9,MANN_a9,45,0.0,15,0.01,16.0,918,963
22,22,c-fat200-1,200,0.01,12,0.01,12.0,1534,1734
36,36,hamming6-2,64,0.0,32,0.02,32.0,1824,1888
43,43,johnson8-4-4,70,0.0,11,0.02,14.0,1855,1925
23,23,c-fat200-2,200,0.01,24,0.02,24.0,3235,3435
25,25,c-fat500-1,500,0.06,14,0.07,14.0,4459,4959
40,40,johnson16-2-4,120,0.05,8,0.29,8.0,5460,5580
1,1,C125.9,125,0.05,30,0.49,31.0,6963,7088
24,24,c-fat200-5,200,0.03,58,0.05,58.0,8473,8673
44,44,keller4,171,0.05,11,0.46,11.0,9435,9606
27,27,c-fat500-2,500,0.08,26,0.09,26.0,9139,9639
11,11,brock200_2,200,0.04,9,0.56,12.0,9876,10076
53,53,p_hat300-1,300,0.06,7,0.06,7.0,10933,11233
12,12,brock200_3,200,0.05,14,0.72,13.0,12048,12248
13,13,brock200_4,200,0.07,13,0.82,14.0,13089,13289
73,73,sanr200_0.7,200,0.07,15,0.08,15.0,13868,14068
64,64,san200_0.7_2,200,0.1,14,0.11,14.0,13930,14130
63,63,san200_0.7_1,200,0.08,17,0.09,17.0,13930,14130
10,10,brock200_1,200,0.08,18,1.54,19.0,14834,15034
74,74,sanr200_0.9,200,0.19,32,0.21,32.0,17863,18063
66,66,san200_0.9_2,200,0.19,41,0.21,41.0,17910,18110
30,30,gen200_p0.9_55,200,0.19,34,2.43,42.0,17910,18110
65,65,san200_0.9_1,200,0.2,47,0.23,47.0,17910,18110
29,29,gen200_p0.9_44,200,0.2,33,2.45,35.0,17910,18110
67,67,san200_0.9_3,200,0.19,31,0.21,31.0,17910,18110
39,39,hamming8-4,256,0.29,13,1.68,13.0,20864,21120
54,54,p_hat300-2,300,0.12,21,0.13,21.0,21928,22228
28,28,c-fat500-5,500,0.15,64,0.22,64.0,23191,23691
3,3,C250.9,250,0.38,38,11.37,39.0,27984,28234
38,38,hamming8-2,256,0.68,96,10.61,111.0,31616,31872
56,56,p_hat500-1,500,0.31,8,0.32,8.0,31569,32069
55,55,p_hat300-3,300,0.3,27,0.33,27.0,33390,33690
68,68,san400_0.5_1,400,1.36,9,1.49,9.0,39900,40300
75,75,sanr400_0.5,400,0.67,11,0.73,11.0,39984,40384
26,26,c-fat500-10,500,0.29,126,0.55,126.0,46627,47127
69,69,san400_0.7_1,400,3.03,22,3.34,22.0,55860,56260
70,70,san400_0.7_2,400,2.32,18,2.56,18.0,55860,56260
71,71,san400_0.7_3,400,2.05,16,2.23,16.0,55860,56260
76,76,sanr400_0.7,400,1.74,18,1.93,18.0,55869,56269
16,16,brock400_3,400,1.88,20,31.33,22.0,59681,60081
14,14,brock400_1,400,2.07,21,26.44,22.0,59723,60123
17,17,brock400_4,400,2.96,21,19.03,22.0,59765,60165
15,15,brock400_2,400,2.78,20,19.19,21.0,59786,60186
59,59,p_hat700-1,700,1.03,8,1.05,8.0,60999,61699
6,6,DSJC500_5,500,1.28,11,11.66,12.0,62624,63124
57,57,p_hat500-2,500,0.83,28,0.87,28.0,62946,63446
7,7,MANN_a27,378,8.27,123,61.86,123.0,70551,70929
72,72,san400_0.9_1,400,1.79,53,1.97,53.0,71820,72220
33,33,gen400_p0.9_75,400,1.65,41,34.1,45.0,71820,72220
32,32,gen400_p0.9_65,400,1.7,41,60.5,45.0,71820,72220
31,31,gen400_p0.9_55,400,1.63,40,69.33,45.0,71820,72220
58,58,p_hat500-3,500,2.41,36,2.47,36.0,93800,94300
41,41,johnson32-2-4,496,11.38,16,122.29,16.0,107880,108376
4,4,C500.9,500,4.24,44,89.23,47.0,112332,112832
60,60,p_hat700-2,700,2.98,35,3.17,35.0,121728,122428
47,47,p_hat1000-1,1000,3.39,9,3.32,9.0,122253,123253
61,61,p_hat700-3,700,12.67,44,13.25,44.0,183010,183710
20,20,brock800_3,800,20.56,18,162.28,18.0,207333,208133
18,18,brock800_1,800,16.81,17,181.63,18.0,207505,208305
21,21,brock800_4,800,15.47,17,173.13,18.0,207643,208443
19,19,brock800_2,800,17.41,17,175.39,18.0,208166,208966
45,45,keller5,776,29.24,23,255.78,25.0,225990,226766
48,48,p_hat1000-2,1000,17.1,34,17.32,34.0,244799,245799
5,5,DSJC1000_5,1000,19.01,14,157.96,14.0,249826,250826
62,62,san1000,1000,38.31,10,40.49,10.0,250500,251500
50,50,p_hat1500-1,1500,21.5,11,21.43,11.0,284923,286423
49,49,p_hat1000-3,1000,46.68,46,47.93,46.0,371746,372746
35,35,hamming10-4,1024,104.68,31,1005.45,32.0,434176,435200
0,0,C1000.9,1000,185.63,52,2015.27,54.0,450079,451079
34,34,hamming10-2,1024,176.39,277,2391.11,307.0,518656,519680
8,8,MANN_a45,1035,507.19,335,6154.56,337.0,533115,534150
51,51,p_hat1500-2,1500,60.03,45,61.87,45.0,568960,570460
52,52,p_hat1500-3,1500,226.3,63,238.45,63.0,847244,848744
2,2,C2000.5,2000,322.74,14,2705.67,14.0,999836,1001836
46,46,keller6,3361,18566.02,47,,,4619898,4623259
