name,time_1.0,size_max_clique_1.0
socfb-American75.mtx,40.57,39
socfb-Amherst41.mtx,5.98,21
socfb-Auburn71.mtx,663.72,56
socfb-BC17.mtx,200.13,35
socfb-BU10.mtx,483.46,38
socfb-Baylor93.mtx,319.47,54
socfb-Berkeley13.mtx,832.31,42
socfb-Bingham82.mtx,150.24,42
socfb-Bowdoin47.mtx,4.94,22
socfb-Brandeis99.mtx,16.74,23
socfb-Brown11.mtx,140.75,32
socfb-Bucknell39.mtx,18.38,29
socfb-CMU.mtx,65.8,44
socfb-Cal65.mtx,180.57,50
socfb-Caltech36.mtx,0.38,20
socfb-Colgate88.mtx,15.92,33
socfb-Columbia2.mtx,242.18,31
socfb-Cornell5.mtx,653.97,40
socfb-Dartmouth6.mtx,102.01,28
socfb-Duke14.mtx,229.36,33
socfb-Emory27.mtx,103.4,52
socfb-FSU53.mtx,1346.97,54
socfb-Indiana.mtx,1492.6,47
socfb-Indiana69.mtx,1501.44,47
socfb-JMU79.mtx,240.37,38
socfb-JohnsHopkins55.mtx,31.62,44
socfb-Lehigh96.mtx,34.6,37
socfb-MIT.mtx,62.37,32
socfb-MSU24.mtx,1565.69,46
socfb-MU78.mtx,386.12,48
socfb-Maine59.mtx,90.58,28
socfb-Maryland58.mtx,652.87,53
socfb-Mich67.mtx,8.76,27
socfb-Michigan23.mtx,1539.24,44
socfb-Middlebury45.mtx,11.0,24
socfb-Mississippi66.mtx,262.77,47
socfb-NYU9.mtx,706.92,37
socfb-Northeastern19.mtx,252.21,34
socfb-Northwestern25.mtx,219.91,40
socfb-NotreDame57.mtx,291.54,25
socfb-Temple83.mtx,322.03,35
socfb-Tennessee95.mtx,832.38,57
socfb-Texas80.mtx,2835.07,57
socfb-Texas84.mtx,4410.97,50
socfb-Trinity100.mtx,15.25,36
socfb-Tufts18.mtx,122.37,34
socfb-Tulane29.mtx,172.76,38
socfb-UC33.mtx,734.74,42
socfb-UC61.mtx,538.35,46
socfb-UC64.mtx,80.81,32
socfb-UCF52.mtx,593.2,59
socfb-UCLA.mtx,1282.03,51
socfb-UCLA26.mtx,1284.71,51
socfb-UCSB37.mtx,653.25,53
socfb-UCSC68.mtx,160.68,30
socfb-UCSD34.mtx,592.51,43
socfb-UChicago30.mtx,102.23,33
socfb-GWU54.mtx,190.39,42
socfb-Hamilton46.mtx,5.56,25
socfb-Harvard1.mtx,462.97,39
socfb-Haverford76.mtx,2.36,24
socfb-Howard90.mtx,25.98,47
socfb-UConn.mtx,404.61,49
socfb-UConn91.mtx,405.48,49
socfb-UF.mtx,2156.92,55
socfb-UF21.mtx,2193.94,55
socfb-UGA50.mtx,1153.77,51
socfb-UIllinois.mtx,1663.48,56
socfb-UIllinois20.mtx,1656.72,56
socfb-UMass92.mtx,376.0,35
socfb-UNC28.mtx,597.23,46
socfb-UPenn7.mtx,447.09,41
socfb-USC35.mtx,614.39,60
socfb-USF51.mtx,214.36,43
socfb-USFCA72.mtx,4.23,28
socfb-UVA16.mtx,470.91,42
socfb-Vanderbilt48.mtx,109.14,45
socfb-Vassar85.mtx,9.47,22
socfb-Vermont70.mtx,50.51,38
socfb-Villanova62.mtx,87.2,36
socfb-Virginia63.mtx,626.39,51
socfb-Wake73.mtx,53.47,45
socfb-WashU32.mtx,114.94,41
socfb-Wellesley22.mtx,7.5,27
socfb-Wesleyan43.mtx,14.84,28
socfb-William77.mtx,66.31,38
socfb-Williams40.mtx,9.44,24
socfb-Wisconsin87.mtx,855.08,35
socfb-Yale4.mtx,153.5,30
